Female_Trait,corr,name
ATx2928_DTA,0.210529840444882,p.value
ATx2928_DTA,0.0394321931235549,estimate
ATx2928_GNP,0.178195355556478,p.value
ATx2928_GNP,0.0839152963293193,estimate
ATx2928_GY,0.125603601349066,p.value
ATx2928_GY,0.0907800793006359,estimate
ATx2928_PH,8.19901832594918e-05,p.value
ATx2928_PH,0.121355808408189,estimate
ATx2928_TGW,0.700109689614224,p.value
ATx2928_TGW,-0.0145521793573501,estimate
ATx642_DTA,0.174089535378601,p.value
ATx642_DTA,0.0432101464479524,estimate
ATx642_GNP,0.537384414468478,p.value
ATx642_GNP,0.0341761190730406,estimate
ATx642_GY,0.388981068715557,p.value
ATx642_GY,0.0463884364459817,estimate
ATx642_PH,3.43751719928468e-14,p.value
ATx642_PH,0.232893320791819,estimate
ATx642_TGW,0.153104365387489,p.value
ATx642_TGW,0.0527137814533595,estimate
