Seed,Trait,Method,Model,Predictive_ability,Prediction_accuracy
123,DTA,T2,GCA,0.792335943268324,0.838450733617275
123,DTA,T2,GCA+SCA,0.545025898545522,0.59761611682623
123,PH,T2,GCA,0.753347553807812,0.788020453773862
123,PH,T2,GCA+SCA,0.222624093894251,0.229983568072573
123,TGW,T2,GCA,0.787848189593026,0.848974342233864
123,TGW,T2,GCA+SCA,0.44551706794784,0.52599417703405
123,GY,T2,GCA,0.43888715643634,0.563398146901592
123,GY,T2,GCA+SCA,0.291834373758233,0.392778430361013
123,GNP,T2,GCA,0.392858788429628,0.516240195045503
123,GNP,T2,GCA+SCA,0.0771230150193126,0.109705569017514
124,DTA,T2,GCA,0.850763407709103,0.900278738316511
124,DTA,T2,GCA+SCA,0.687355440846938,0.753679211454976
124,PH,T2,GCA,0.791675780275722,0.828112740874186
124,PH,T2,GCA+SCA,0.376729142466049,0.38918299841534
124,TGW,T2,GCA,0.792953507943704,0.854475762870371
124,TGW,T2,GCA+SCA,0.473460717595074,0.558985498931611
124,GY,T2,GCA,0.462900119860352,0.594223517150645
124,GY,T2,GCA+SCA,0.33220093856592,0.447107588917793
124,GNP,T2,GCA,0.476177408138184,0.625725897684867
124,GNP,T2,GCA+SCA,0.239153552153836,0.340189974614277
125,DTA,T2,GCA,0.874010449293052,0.92487878232069
125,DTA,T2,GCA+SCA,0.702568590389848,0.770360296480097
125,PH,T2,GCA,0.778710840263993,0.814551088142252
125,PH,T2,GCA+SCA,0.264263071741538,0.272999041055308
125,TGW,T2,GCA,0.832503781471319,0.897094592102715
125,TGW,T2,GCA+SCA,0.482586516282757,0.569759759483775
125,GY,T2,GCA,0.583927692949128,0.749586255390408
125,GY,T2,GCA+SCA,0.267854056976709,0.360503441422219
125,GNP,T2,GCA,0.590099919448748,0.775426963795989
125,GNP,T2,GCA+SCA,0.0407334188070315,0.0579422742632028
126,DTA,T2,GCA,0.84296010181654,0.892021271763534
126,DTA,T2,GCA+SCA,0.676562824280247,0.741845202061675
126,PH,T2,GCA,0.728305976780423,0.761826335544375
126,PH,T2,GCA+SCA,0.343137154956822,0.354480531980188
