Seed,Trait,Method,Model,Predictive_ability,Prediction_accuracy
123,DTA,T2,GCA,0.752242854907068,0.787688853305831
123,DTA,T2,GCA+SCA,0.672388189323011,0.706290114835096
123,PH,T2,GCA,0.918918571000071,0.921683621865668
123,PH,T2,GCA+SCA,0.773130317090535,0.776235258123027
123,TGW,T2,GCA,0.916664297167902,0.935371731803981
123,TGW,T2,GCA+SCA,0.837244970084133,0.857832961151775
123,GY,T2,GCA,0.81810200544493,0.878734699726025
123,GY,T2,GCA+SCA,0.720390886556488,0.77628328292725
123,GNP,T2,GCA,0.837791679658425,0.894121323007924
123,GNP,T2,GCA+SCA,0.717412236503924,0.773907482744255
124,DTA,T2,GCA,0.881890557736213,0.923445610194988
124,DTA,T2,GCA+SCA,0.828186068114212,0.869943348859466
124,PH,T2,GCA,0.940342060477272,0.94317157520288
124,PH,T2,GCA+SCA,0.787922353409604,0.791086700210446
124,TGW,T2,GCA,0.911164222016819,0.929759410221244
124,TGW,T2,GCA+SCA,0.856479393770594,0.87754036246987
124,GY,T2,GCA,0.809079387247982,0.869043380502666
124,GY,T2,GCA+SCA,0.752659276002858,0.811055254313424
124,GNP,T2,GCA,0.807960408752119,0.862284320973446
124,GNP,T2,GCA+SCA,0.714736152739959,0.771020660992405
125,DTA,T2,GCA,0.874718395669925,0.915935492848089
125,DTA,T2,GCA+SCA,0.826270286309295,0.867930973013965
125,PH,T2,GCA,0.91899496736158,0.921760248105898
125,PH,T2,GCA+SCA,0.740850187619063,0.743825489577372
125,TGW,T2,GCA,0.908009213682069,0.926540013961295
125,TGW,T2,GCA+SCA,0.823885151253146,0.8441446221856
125,GY,T2,GCA,0.851118203335086,0.91419785535455
125,GY,T2,GCA+SCA,0.763008657337616,0.822207604889673
125,GNP,T2,GCA,0.847948467643772,0.904961011359415
125,GNP,T2,GCA+SCA,0.753736063171568,0.813091761781627
126,DTA,T2,GCA,0.859864431675765,0.900381603848969
126,DTA,T2,GCA+SCA,0.820505192364017,0.861875202063043
126,PH,T2,GCA,0.861985169392677,0.86457890611101
126,PH,T2,GCA+SCA,0.692997814237418,0.695780937989375
126,TGW,T2,GCA,0.91008709631565,0.928660302362908
126,TGW,T2,GCA+SCA,0.826004605786863,0.846316194453753
126,GY,T2,GCA,0.820120001624635,0.88090225738414
126,GY,T2,GCA+SCA,0.759035364820109,0.817926039676842
126,GNP,T2,GCA,0.810964538396826,0.865490435855738
126,GNP,T2,GCA+SCA,0.712250643610085,0.768339421370102
127,DTA,T2,GCA,0.793840455267731,0.831246550018566
127,DTA,T2,GCA+SCA,0.734516052184246,0.771550474983451
127,PH,T2,GCA,0.933464721929386,0.936273542557057
127,PH,T2,GCA+SCA,0.774336027226825,0.7774458104687
127,TGW,T2,GCA,0.899834921191282,0.918198899174777
127,TGW,T2,GCA+SCA,0.824081615729439,0.844345917755573
127,GY,T2,GCA,0.85861822110927,0.922253728366562
127,GY,T2,GCA+SCA,0.787453206172149,0.848548713547574
127,GNP,T2,GCA,0.834307307190015,0.890402675763089
127,GNP,T2,GCA+SCA,0.729903353110671,0.787382257940314
128,DTA,T2,GCA,0.848561998870567,0.888546595675986
128,DTA,T2,GCA+SCA,0.795347946594643,0.835449523733869
128,PH,T2,GCA,0.902804943031452,0.905521507554115
128,PH,T2,GCA+SCA,0.78441158587291,0.787561833205733
128,TGW,T2,GCA,0.906466688690518,0.924966008867875
128,TGW,T2,GCA+SCA,0.83771605439879,0.858315629506957
128,GY,T2,GCA,0.829319231963442,0.890783278156221
128,GY,T2,GCA+SCA,0.759943760627019,0.81890491446877
128,GNP,T2,GCA,0.797036727015106,0.850626176110038
128,GNP,T2,GCA+SCA,0.700685810947714,0.755863873730004
129,DTA,T2,GCA,0.878606820445858,0.920007141828124
129,DTA,T2,GCA+SCA,0.826916754302876,0.868610036032433
129,PH,T2,GCA,0.911721889069215,0.914465284923987
129,PH,T2,GCA+SCA,0.797890334391101,0.801094713244077
129,TGW,T2,GCA,0.91199328284223,0.930605390655337
129,TGW,T2,GCA+SCA,0.836833004548889,0.857410865316485
129,GY,T2,GCA,0.828626082407675,0.890038756614044
129,GY,T2,GCA+SCA,0.766964477840669,0.82647034250072
129,GNP,T2,GCA,0.836671715968369,0.892926057596979
129,GNP,T2,GCA+SCA,0.750725843423154,0.809844491287113
130,DTA,T2,GCA,0.809753788101495,0.847909725760728
130,DTA,T2,GCA+SCA,0.749272797647308,0.787051258032887
130,PH,T2,GCA,0.942100885860536,0.944935692939354
130,PH,T2,GCA+SCA,0.764678258726884,0.767749255749883
130,TGW,T2,GCA,0.851878816037357,0.869264097997303
130,TGW,T2,GCA+SCA,0.740766580184005,0.758982151827874
130,GY,T2,GCA,0.837844382136367,0.899940260082027
130,GY,T2,GCA+SCA,0.786994797026904,0.848054738175544
130,GNP,T2,GCA,0.85524144840318,0.912744341945763
130,GNP,T2,GCA+SCA,0.764501250655398,0.824704693263644
131,DTA,T2,GCA,0.85125132134968,0.891362640156733
131,DTA,T2,GCA+SCA,0.773136513617341,0.812118186572837
131,PH,T2,GCA,0.894219431643086,0.896910162129475
131,PH,T2,GCA+SCA,0.723190148416066,0.726094526522155
131,TGW,T2,GCA,0.921418775142941,0.940223239941776
131,TGW,T2,GCA+SCA,0.847692611023446,0.868537511294515
131,GY,T2,GCA,0.792271586756736,0.850989889104979
131,GY,T2,GCA+SCA,0.643549554388183,0.693480123263128
131,GNP,T2,GCA,0.828983389396266,0.884720799782567
131,GNP,T2,GCA+SCA,0.689050983077741,0.74331281885409
132,DTA,T2,GCA,0.905133813112667,0.947784097500175
132,DTA,T2,GCA+SCA,0.81620151377995,0.85735453128146
132,PH,T2,GCA,0.840489162886355,0.843018217538972
132,PH,T2,GCA+SCA,0.643214825278663,0.645798017348055
132,TGW,T2,GCA,0.876241414178706,0.894123892019087
132,TGW,T2,GCA+SCA,0.753262109955264,0.771784948724656
132,GY,T2,GCA,0.820689006238045,0.881513433123571
132,GY,T2,GCA+SCA,0.769876837208919,0.829608660785473
132,GNP,T2,GCA,0.843126535833134,0.899814872820847
132,GNP,T2,GCA+SCA,0.763984016042879,0.824146727122847
133,DTA,T2,GCA,0.818017986706141,0.856563336865069
133,DTA,T2,GCA+SCA,0.757861025049365,0.796072505303955
133,PH,T2,GCA,0.934153335977705,0.936964228663696
133,PH,T2,GCA+SCA,0.794222478399261,0.797412126906888
133,TGW,T2,GCA,0.877431573714413,0.895338340524912
133,TGW,T2,GCA+SCA,0.768976726118166,0.787885989875171
133,GY,T2,GCA,0.830228463896585,0.89175989677399
133,GY,T2,GCA+SCA,0.729685918878922,0.786299481550563
133,GNP,T2,GCA,0.827804076351279,0.883462194611824
133,GNP,T2,GCA+SCA,0.696560508521479,0.751413709300408
134,DTA,T2,GCA,0.899885624378279,0.942288611914428
134,DTA,T2,GCA+SCA,0.848090154488245,0.890851002613703
134,PH,T2,GCA,0.898698903477324,0.901403112815771
134,PH,T2,GCA+SCA,0.774298410516718,0.777408042687468
134,TGW,T2,GCA,0.855771414378834,0.873236137121259
134,TGW,T2,GCA+SCA,0.774536951222314,0.793582941826141
134,GY,T2,GCA,0.752325348608523,0.808083081212162
134,GY,T2,GCA+SCA,0.707677607752116,0.762583629043229
134,GNP,T2,GCA,0.77157783519378,0.823455533824739
134,GNP,T2,GCA+SCA,0.674644329165309,0.727771660372501
135,DTA,T2,GCA,0.871880246135665,0.912963608519021
135,DTA,T2,GCA+SCA,0.78799704557279,0.827727989047048
135,PH,T2,GCA,0.866700067036123,0.86930799100915
135,PH,T2,GCA+SCA,0.68701516909913,0.689774266163785
135,TGW,T2,GCA,0.882524466556499,0.900535169955611
135,TGW,T2,GCA+SCA,0.757201728049258,0.775821442673421
135,GY,T2,GCA,0.836511893861153,0.89850901596257
135,GY,T2,GCA+SCA,0.764852890421692,0.824194925023375
135,GNP,T2,GCA,0.840154865754891,0.896643399951858
135,GNP,T2,GCA+SCA,0.749540557193967,0.808565865365661
136,DTA,T2,GCA,0.892373956495838,0.934422991095118
136,DTA,T2,GCA+SCA,0.843021527671682,0.885526814781179
136,PH,T2,GCA,0.949529200512388,0.952386359591161
136,PH,T2,GCA+SCA,0.752884288407447,0.755907920087799
136,TGW,T2,GCA,0.88296600743064,0.900985721868
136,TGW,T2,GCA+SCA,0.775926119269181,0.795006269743013
136,GY,T2,GCA,0.773123242525292,0.830422387245211
136,GY,T2,GCA+SCA,0.666040457541689,0.717716010281993
136,GNP,T2,GCA,0.758456892635063,0.809452393420558
136,GNP,T2,GCA+SCA,0.604517202779996,0.652122117346274
137,DTA,T2,GCA,0.783577665942139,0.820500173761402
137,DTA,T2,GCA+SCA,0.614374595027826,0.645351465365364
137,PH,T2,GCA,0.914938028349342,0.917691101654305
137,PH,T2,GCA+SCA,0.664320879862267,0.66698883520308
137,TGW,T2,GCA,0.883882539565454,0.901920958740259
137,TGW,T2,GCA+SCA,0.790190315023229,0.809621224409046
137,GY,T2,GCA,0.827372257129642,0.88869200550982
137,GY,T2,GCA+SCA,0.745661983947995,0.803515068909478
137,GNP,T2,GCA,0.828262062473176,0.883950973824094
137,GNP,T2,GCA+SCA,0.696197777780746,0.751022414002962
138,DTA,T2,GCA,0.898879696484387,0.941235284276845
138,DTA,T2,GCA+SCA,0.853007579962071,0.896016365506377
138,PH,T2,GCA,0.953690694403268,0.956560375529857
138,PH,T2,GCA+SCA,0.792226519273966,0.795408151881492
138,TGW,T2,GCA,0.917507028129916,0.936231661357057
138,TGW,T2,GCA+SCA,0.848484305584966,0.869348673755089
138,GY,T2,GCA,0.790575915803979,0.84916854543929
138,GY,T2,GCA+SCA,0.729878937932768,0.786507476220655
138,GNP,T2,GCA,0.826068006686666,0.88160939881181
138,GNP,T2,GCA+SCA,0.73909813623103,0.797301117832827
139,DTA,T2,GCA,0.896847218711613,0.939107035300119
139,DTA,T2,GCA+SCA,0.850482097000782,0.893363547269729
139,PH,T2,GCA,0.944274940738999,0.947116289607822
139,PH,T2,GCA+SCA,0.797472260329644,0.800674960170325
139,TGW,T2,GCA,0.897635152335932,0.915954237077481
139,TGW,T2,GCA+SCA,0.7999129994757,0.819582991266086
139,GY,T2,GCA,0.856059283198888,0.919505137700202
139,GY,T2,GCA+SCA,0.765943306139588,0.825369941960763
139,GNP,T2,GCA,0.857075521005968,0.914701729995697
139,GNP,T2,GCA+SCA,0.773883222188483,0.834825482403973
140,DTA,T2,GCA,0.835304094777569,0.874663973589078
140,DTA,T2,GCA+SCA,0.794590853556416,0.834654257937412
140,PH,T2,GCA,0.936708728009108,0.939527309938925
140,PH,T2,GCA+SCA,0.786505332380114,0.789663988333448
140,TGW,T2,GCA,0.879544375503745,0.897494260718107
140,TGW,T2,GCA+SCA,0.779377834908435,0.798542863635691
140,GY,T2,GCA,0.779835167623939,0.837631758994564
140,GY,T2,GCA+SCA,0.689647448914153,0.743154578571285
140,GNP,T2,GCA,0.803224679302182,0.857230180685359
140,GNP,T2,GCA+SCA,0.695068707240243,0.749804430679874
141,DTA,T2,GCA,0.869165745745486,0.910121199733493
141,DTA,T2,GCA+SCA,0.822597527900879,0.864073033509327
141,PH,T2,GCA,0.936318685207375,0.939136093487839
141,PH,T2,GCA+SCA,0.710360595079357,0.713213448874857
141,TGW,T2,GCA,0.863986899960328,0.881619285673804
141,TGW,T2,GCA+SCA,0.769854505844107,0.788785354348471
141,GY,T2,GCA,0.778375114934031,0.836063496169743
141,GY,T2,GCA+SCA,0.692953946541081,0.746717614807199
141,GNP,T2,GCA,0.755155514904866,0.805929044722376
141,GNP,T2,GCA+SCA,0.630434553667315,0.680080424668086
142,DTA,T2,GCA,0.912080272377049,0.955057876834606
142,DTA,T2,GCA+SCA,0.848502211955399,0.891283836087604
142,PH,T2,GCA,0.934232792215388,0.93704392398735
142,PH,T2,GCA+SCA,0.776905746746257,0.780025850146844
142,TGW,T2,GCA,0.857636911871793,0.875139705991626
142,TGW,T2,GCA+SCA,0.728746881711362,0.746666886999346
142,GY,T2,GCA,0.829362394496706,0.890829639631264
142,GY,T2,GCA+SCA,0.755788015150163,0.814426740463538
142,GNP,T2,GCA,0.825153467564323,0.880633369865872
142,GNP,T2,GCA+SCA,0.709201055298005,0.765049682090621
143,DTA,T2,GCA,0.898450999473094,0.940786386882821
143,DTA,T2,GCA+SCA,0.833761450149013,0.875799842593501
143,PH,T2,GCA,0.957728781979334,0.960610613820796
143,PH,T2,GCA+SCA,0.802838611445861,0.806062862897451
143,TGW,T2,GCA,0.881508063616833,0.899498024098809
143,TGW,T2,GCA+SCA,0.796803619600581,0.816397151230104
143,GY,T2,GCA,0.822100409806698,0.883029441253167
143,GY,T2,GCA+SCA,0.756600982380389,0.815302782737488
143,GNP,T2,GCA,0.800387620513595,0.854202369811734
143,GNP,T2,GCA+SCA,0.698970389041021,0.754013364661295
144,DTA,T2,GCA,0.903095047602762,0.94564926450551
144,DTA,T2,GCA+SCA,0.862021923314382,0.905485213565528
144,PH,T2,GCA,0.940520214887839,0.943350265684893
144,PH,T2,GCA+SCA,0.813343733365866,0.816610174062114
144,TGW,T2,GCA,0.890913224249475,0.909095126785178
144,TGW,T2,GCA+SCA,0.798740483456625,0.818381642885886
144,GY,T2,GCA,0.873965993741522,0.938738983610657
144,GY,T2,GCA+SCA,0.803438835464186,0.865774607181234
144,GNP,T2,GCA,0.885256327463269,0.944777297185986
144,GNP,T2,GCA+SCA,0.790006743199459,0.85221870895303
145,DTA,T2,GCA,0.906281878253982,0.948986259951813
145,DTA,T2,GCA+SCA,0.851466944841317,0.894398051303905
145,PH,T2,GCA,0.925742921056638,0.928528506576367
145,PH,T2,GCA+SCA,0.706299906858206,0.709136452668881
145,TGW,T2,GCA,0.918097309605516,0.936833989393384
145,TGW,T2,GCA+SCA,0.82847602557847,0.848848386863187
145,GY,T2,GCA,0.821781613354223,0.882687017566298
145,GY,T2,GCA+SCA,0.711096666268841,0.766267959341423
145,GNP,T2,GCA,0.831331271632744,0.88722654389834
145,GNP,T2,GCA+SCA,0.725883835893288,0.783046209162123
146,DTA,T2,GCA,0.910548283533301,0.953453700034871
