Trait,Method2,r
DTA,T1F_GCA,0.65 ± 0.06
DTA,T1F_GCA+SCA,0.6 ± 0.06
DTA,T2_GCA,0.88 ± 0.04
DTA,T2_GCA+SCA,0.69 ± 0.07
GNP,T1F_GCA,0.16 ± 0.12
GNP,T1F_GCA+SCA,0.11 ± 0.11
GNP,T2_GCA,0.69 ± 0.12
GNP,T2_GCA+SCA,0.23 ± 0.13
GY,T1F_GCA,0.16 ± 0.13
GY,T1F_GCA+SCA,0.14 ± 0.13
GY,T2_GCA,0.7 ± 0.12
GY,T2_GCA+SCA,0.49 ± 0.14
PH,T1F_GCA,0.07 ± 0.11
PH,T1F_GCA+SCA,0.09 ± 0.09
PH,T2_GCA,0.79 ± 0.05
PH,T2_GCA+SCA,0.3 ± 0.08
TGW,T1F_GCA,0.7 ± 0.07
TGW,T1F_GCA+SCA,0.49 ± 0.09
TGW,T2_GCA,0.86 ± 0.06
TGW,T2_GCA+SCA,0.46 ± 0.1
