Trait,Method2,r
DTA,T1F_GCA,0.29 ± 0.12
DTA,T1F_GCA+SCA,0.28 ± 0.12
DTA,T2_GCA,0.91 ± 0.04
DTA,T2_GCA+SCA,0.85 ± 0.05
GNP,T1F_GCA,0.48 ± 0.08
GNP,T1F_GCA+SCA,0.45 ± 0.08
GNP,T2_GCA,0.87 ± 0.03
GNP,T2_GCA+SCA,0.76 ± 0.05
GY,T1F_GCA,0.38 ± 0.09
GY,T1F_GCA+SCA,0.36 ± 0.1
GY,T2_GCA,0.88 ± 0.03
GY,T2_GCA+SCA,0.8 ± 0.04
PH,T1F_GCA,0.09 ± 0.11
PH,T1F_GCA+SCA,0.09 ± 0.1
PH,T2_GCA,0.93 ± 0.02
PH,T2_GCA+SCA,0.76 ± 0.04
TGW,T1F_GCA,0.13 ± 0.08
TGW,T1F_GCA+SCA,0.13 ± 0.08
TGW,T2_GCA,0.91 ± 0.02
TGW,T2_GCA+SCA,0.81 ± 0.03
